"x" "y" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6" "layer.7" "reino" "ids"
"178" -157 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5027
"179" -155 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5028
"180" -153 -11 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 5029
"181" -151 -11 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 5030
"182" -149 -11 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 5031
"183" -147 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5032
"184" -145 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5033
"185" -143 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5034
"186" -141 -11 22402.24104 343.6286255 -3.474233982 0.785733436 0.482475264 -0.792488647 18 "17" 5035
"187" -139 -11 22402.24104 343.6286255 -3.474233982 0.785733436 0.482475264 -0.792488647 18 "17" 5036
"188" -137 -11 19973.86187 320.9443558 -3.644124315 0.820955365 0.503155478 -0.547813372 17 "17" 5037
"189" -135 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5038
"190" -133 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5039
"191" -131 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5040
"192" -179 -13 19256.16969 343.8724941 -3.089826526 0.780897768 0.55936117 0.830417096 16 "17" 5164
"193" -177 -13 19256.16969 343.8724941 -3.089826526 0.780897768 0.55936117 0.830417096 16 "17" 5165
"194" -175 -13 19256.16969 343.8724941 -3.089826526 0.780897768 0.55936117 0.830417096 16 "17" 5166
"195" -173 -13 19663.29919 338.3162217 -3.288186212 0.78012625 0.591433602 1.116924339 17 "17" 5167
"196" -171 -13 19099.84634 335.8073876 -3.508853036 0.782912434 0.566088285 0.854772149 18 "17" 5168
"197" -169 -13 19099.84634 335.8073876 -3.508853036 0.782912434 0.566088285 0.854772149 18 "17" 5169
"198" -167 -13 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 5170
"199" -165 -13 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 5171
"200" -163 -13 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 5172
"201" -161 -13 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5173
"202" -159 -13 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5174
"203" -157 -13 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5175
"204" -155 -13 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5176
"205" -153 -13 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 5177
"206" -151 -13 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 5178
"207" -149 -13 18793.8329 331.0324284 -3.098991315 0.717973576 0.526441387 -0.01536588 15 "17" 5179
"208" -147 -13 19014.96902 311.8760671 -3.933565301 0.77525525 0.556979819 0.410191013 20 "17" 5180
"209" -145 -13 19014.96902 311.8760671 -3.933565301 0.77525525 0.556979819 0.410191013 20 "17" 5181
"210" -143 -13 18366.48852 317.4981172 -3.611338024 0.776396775 0.575133321 0.648659954 19 "17" 5182
"211" -141 -13 20907.05145 338.4377816 -3.41513373 0.752050832 0.555451885 0.402331775 20 "17" 5183
"212" -139 -13 18366.48852 317.4981172 -3.611338024 0.776396775 0.575133321 0.648659954 19 "17" 5184
"213" -137 -13 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5185
"214" -135 -13 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5186
"215" -133 -13 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5187
"216" -131 -13 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5188
"217" -179 -15 19663.29919 338.3162217 -3.284795735 0.77747993 0.533929774 0.554190188 17 "17" 5313
"218" -177 -15 19256.16969 343.8724941 -3.089826526 0.780897768 0.55936117 0.830417096 16 "17" 5314
"219" -175 -15 19256.16969 343.8724941 -3.089826526 0.780897768 0.55936117 0.830417096 16 "17" 5315
"220" -173 -15 19663.29919 338.3162217 -3.288186212 0.78012625 0.591433602 1.116924339 17 "17" 5316
"221" -171 -15 19663.29919 338.3162217 -3.288186212 0.78012625 0.591433602 1.116924339 17 "17" 5317
"222" -169 -15 19663.29919 338.3162217 -3.288186212 0.78012625 0.591433602 1.116924339 17 "17" 5318
"223" -167 -15 20010.75921 337.9504631 -2.754428728 0.733584262 0.541619714 -0.01474452 13 "17" 5319
"224" -165 -15 19864.24654 341.3588803 -2.401143164 0.721994035 0.533216878 -0.526195019 12 "17" 5320
"225" -163 -15 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 5321
"226" -161 -15 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5322
"227" -159 -15 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5323
"228" -157 -15 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5324
"229" -155 -15 18849.1016 316.1486067 -3.580145421 0.793801124 0.54868736 0.073643636 19 "17" 5325
"230" -153 -15 19148.06297 307.3031884 -3.981778931 0.775808085 0.540237761 0.19543589 21 "17" 5326
"231" -151 -15 19493.00423 319.035033 -4.157813879 0.754595626 0.557510998 0.75305105 22 "17" 5327
"232" -149 -15 19927.43634 301.3224442 -4.390385125 0.766892715 0.562819001 0.372677927 22 "17" 5328
"233" -147 -15 19927.43634 301.3224442 -4.390385125 0.766892715 0.562819001 0.372677927 22 "17" 5329
"234" -145 -15 19265.18211 307.0695479 -4.089459929 0.775732764 0.542207023 0.180302546 21 "17" 5330
"235" -143 -15 20112.08572 310.5011435 -4.046700796 0.772430411 0.570410058 0.617094253 19 "17" 5331
"236" -141 -15 22746.71591 332.1405052 -3.849464805 0.753074169 0.550750148 0.375235306 20 "17" 5332
"237" -139 -15 21972.86618 338.994795 -3.53590276 0.752649923 0.568852727 0.612366806 19 "17" 5333
"238" -137 -15 21972.86618 338.994795 -3.53590276 0.752649923 0.568852727 0.612366806 19 "17" 5334
"239" -135 -15 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5335
"240" -133 -15 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5336
"241" -131 -15 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5337
